id;created_at (Europe/Moscow);source;api_type;model_name;provider_name;input_tokens;output_tokens
2b413372-59ad-4382-87f8-88c10a814b0d;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2311;96
719323ec-3c19-4093-b461-008a603f290b;23.05.2026 19:25;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;989;620
30883f8d-0ce2-49b3-922e-df30d17fa999;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1237;1190
3eb72a5b-3156-4652-b97e-b75be5fccace;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1472;112
c37aa291-eded-43a3-a6a8-98996e7e582e;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;5668;164
f7863457-d79b-4463-bb9f-5a2ef1ee1d44;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2271;614
b46b9c49-026e-43da-bc3e-e544ac252103;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3350;308
ff22e6ac-f4a2-4c5a-a7d1-d13a51b12037;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4235;197
fa25b97c-2337-4600-8037-0d59adbe456f;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2967;365
8fd276cb-5ac0-4d60-9ac4-019e1092b10f;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;808;113
23335072-23be-4d6c-9040-36eb8d631c47;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1034;659
782342e6-fdf2-4a6f-a6f8-ab54223501ec;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;6212;172
d042a200-52bd-45d0-ba75-0d8cf27e76a2;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2231;98
082fba90-1826-4c85-9041-04f9839d6206;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1033;939
529bda70-012d-4319-a8ba-1b8457e22e23;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1418;97
f385186d-ab9d-4627-9f77-741e4e6491a0;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1063;407
e1edfd73-62cd-48e5-abec-aebf27a12e7a;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1493;632
f1dd0611-ca8b-4f4c-a362-9bc660bad0df;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4943;191
0e9edc3f-3178-4fb4-a80a-351a8a0f91f8;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2950;569
babc99e0-5cb4-432e-9642-0c0f0bca5f6a;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2954;319
f6c2038b-fd1a-41e7-b23d-ead4559aff4e;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4352;536
e5d4f04e-7fd4-4671-9e43-6394ab10ec85;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2758;320
34e80e66-39d6-4e45-ba62-067b060cc26b;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3430;570
073e1a5a-a377-4a27-9387-41f3d7416375;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2673;233
3c359ef3-90b3-4d9d-95f3-dbf09f93d779;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2125;94
838a4864-6b9e-447f-a32c-b229d9e57d85;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3197;646
79441f88-998f-4362-9591-492696ccd516;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2374;301
87c7cd6e-9b4c-4521-9520-6c36bc4af040;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3087;422
0c155025-b2db-423e-ae4c-93486bc479f1;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1933;140
b115292f-fddc-4694-9d9b-224ce219e777;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2787;177
91aa2e9f-10eb-422c-ad27-9f93c6fcf5d8;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2071;92
622b2dd4-16a3-4dc0-b23f-aca5309a81a4;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;869;235
e76d2119-965f-4a53-8762-7336049c161e;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1403;206
4899f7b0-e664-4e37-bd21-bf24927f975c;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2312;381
1380ba14-7be3-49f1-ade2-08755f218217;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1459;106
98969a08-2173-4150-91a4-ea895de381a9;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;817;253
c1f1b12f-5541-4dcf-bd50-76fcbc8aa73f;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;762;98
3240de6d-5ec7-4034-9130-49a2cfa11052;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1142;121
453edcbf-1a0b-4114-a395-2a948b467b0b;23.05.2026 19:24;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;714;177
